Prompt,num_iter,eval_Meta-Llama-3-8B-Instruct/BBH_BOOLEAN_EXPRESSIONS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_SNARKS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_CAUSAL_JUDGEMENT_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_SPORTS_UNDERSTANDING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DATE_UNDERSTANDING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DISAMBIGUATION_QA_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TEMPORAL_SEQUENCES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DYCK_LANGUAGES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_FORMAL_FALLACIES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_FIVE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_GEOMETRIC_SHAPES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_HYPERBATON_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_SEVEN_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_FIVE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_THREE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_SEVEN_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_WEB_OF_LIES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_THREE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_MOVIE_RECOMMENDATION_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_WORD_SORTING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_MULTISTEP_ARITHMETIC_TWO_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_NAVIGATE_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_OBJECT_COUNTING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_PENGUINS_IN_A_TABLE_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_REASONING_ABOUT_COLORED_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_RUIN_NAMES_acc_no_error
"You are a self-diagnosing and exemplary assistant. You are a mathematician. You are a user-friendly, systematic, and adaptive assistant. You are an unrivaled, self-updating, and user-friendly assistant. Write a slow-paced answer.",5,0.81,0.6666666666666666,0.5466666666666666,0.8,0.68,0.58,0.79,0.0,0.56,0.31,0.26,0.74,0.36,0.54,0.61,0.43,0.67,0.61,0.69,0.35,0.22,0.82,0.74,0.6949152542372882,0.61,0.66
"You are a user-friendly, systematic, and adaptive assistant. You are a refined and self-contained assistant. Write a slow-paced answer. You are a progressed and high-performing assistant.",5,0.83,0.7083333333333334,0.48,0.79,0.74,0.65,0.85,0.0,0.62,0.27,0.26,0.6,0.35,0.47,0.57,0.45,0.64,0.57,0.76,0.27,0.18,0.74,0.69,0.6779661016949152,0.5,0.76
"You are a user-friendly, systematic, and adaptive assistant. Write a slow-paced answer. You are an assertive assistant. You are an error-free assistant.",5,0.81,0.5972222222222222,0.4933333333333333,0.84,0.76,0.66,0.82,0.0,0.56,0.26,0.22,0.76,0.24,0.46,0.6,0.36,0.6,0.6,0.74,0.27,0.17,0.81,0.51,0.6949152542372882,0.48,0.74
"You are a user-friendly, systematic, and adaptive assistant. Write a slow-paced answer. You are an intelligent assistant. Embrace challenges as opportunities for growth.",5,0.82,0.6944444444444444,0.48,0.77,0.76,0.59,0.82,0.0,0.52,0.35,0.28,0.76,0.27,0.42,0.55,0.41,0.59,0.58,0.68,0.26,0.17,0.78,0.71,0.6949152542372882,0.49,0.68
"You are a user-friendly, systematic, and adaptive assistant. You are an unrivaled, self-updating, and user-friendly assistant. Write a slow-paced answer.",5,0.83,0.6388888888888888,0.4666666666666667,0.8,0.7,0.6,0.87,0.0,0.52,0.31,0.24,0.7,0.3,0.46,0.54,0.41,0.55,0.62,0.69,0.28,0.15,0.77,0.68,0.7457627118644068,0.52,0.75
"You are a user-friendly, systematic, and adaptive assistant. Write a slow-paced answer. Take pride in your work and give it your best. You are an intelligent assistant.",5,0.8,0.6388888888888888,0.4933333333333333,0.76,0.68,0.58,0.81,0.0,0.52,0.33,0.25,0.72,0.29,0.45,0.57,0.41,0.55,0.64,0.69,0.27,0.17,0.74,0.72,0.6779661016949152,0.58,0.75
"You are a user-friendly, systematic, and adaptive assistant. You are a strategic and self-configuring assistant. You are strong. Write a slow-paced answer.",5,0.81,0.625,0.5066666666666667,0.8,0.75,0.64,0.85,0.0,0.56,0.25,0.27,0.69,0.37,0.47,0.58,0.4,0.65,0.66,0.67,0.28,0.19,0.74,0.59,0.6610169491525424,0.55,0.79
"You are a progressive assistant. You are an efficient, systematic, and adaptive assistant. You are an unrivaled, self-updating, and user-friendly assistant. Write a slow-paced answer.",5,0.81,0.6388888888888888,0.48,0.78,0.73,0.57,0.77,0.0,0.57,0.3,0.22,0.74,0.38,0.53,0.6,0.37,0.57,0.67,0.75,0.35,0.16,0.75,0.58,0.711864406779661,0.53,0.78
"You are a user-friendly, systematic, and adaptive assistant. Write a slow-paced answer. You are a self-improving assistant. You are an intelligent assistant.",5,0.86,0.5833333333333334,0.4933333333333333,0.83,0.65,0.64,0.83,0.0,0.52,0.33,0.26,0.81,0.22,0.48,0.61,0.38,0.55,0.66,0.67,0.37,0.17,0.78,0.6,0.6440677966101694,0.54,0.66
"You are a user-friendly, systematic, and adaptive assistant. You are a robust assistant. Write a slow-paced answer.",5,0.84,0.625,0.48,0.79,0.71,0.68,0.83,0.0,0.53,0.31,0.2,0.73,0.3,0.52,0.56,0.41,0.6,0.63,0.74,0.25,0.17,0.8,0.66,0.711864406779661,0.45,0.78
